country,all_classes,y0_4,y5_9,y10_14,y15_19,y20_24,y25_29,y30_34,y35_39,y40_44,y45_49,y50_54,y55_59,y60_64,y65_69,y70_74,y75_79,y80_84,y85_89,y90_94,y95_99,over100
          Afghanistan,37171.922,5601.443,5388.23,5027.758,4414.718,3656.616,2867.292,2319.668,1918.355,1529.43,1207.463,960.877,751.025,568.217,420.997,285.361,151.893,70.988,24.52,6.078,0.958,0.035
          Albania,2882.735,173.11,161.093,175.272,215.65,242.408,246.671,205.535,157.977,159.982,178.073,194.416,202.543,173.796,131.157,104.063,82.131,49.512,21.888,6.442,0.97,0.046
          Algeria,42228.415,4950.834,4373.752,3406.725,2835.601,3234.681,3706.947,3710.856,3376.834,2782.972,2278.81,1950.94,1614.176,1318.505,1010.711,650.378,489.365,323.904,155.445,46.648,9.527,0.804
          American Samoa,55.461,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Andorra,77.008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Angola,30809.787,5552.546,4840.077,4029.101,3260.975,2697.137,2283.242,1902.094,1533.59,1245.661,974.766,750.733,631.327,425.673,284.264,199.977,114.489,58.906,19.86,4.659,0.676,0.034
          Anguilla,14.738,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Antigua and Barbuda,96.282,7.401,7.015,6.845,7.308,7.565,7.21,7.057,7.006,6.951,6.982,6.647,5.612,4.209,3.118,2.273,1.442,0.892,0.514,0.188,0.043,0.004
          Argentina,44361.15,3747.739,3663.629,3572.841,3511.684,3505.669,3469.604,3230.715,3129.529,2953.321,2493.456,2245.017,2068.223,1837.697,1593.441,1263.708,907.348,612.762,359.825,151.981,39.358,3.603
          Armenia,2951.741,210.839,211.285,186.935,168.606,198.279,254.674,263.07,219.44,177.655,159.712,179.274,210.112,179.686,115.45,68.151,55.203,59.867,21.378,10.116,1.688,0.321
          Aruba,105.846,5.697,6.136,7.011,7.359,7.666,6.597,5.275,6.153,7.075,7.776,8.687,8.862,7.207,5.564,3.851,2.473,1.534,0.669,0.206,0.044,0.004
          Australia,24898.153,1627.081,1613.033,1537.955,1490.577,1627.836,1799.764,1856.881,1735.734,1625.713,1642.012,1557.918,1525,1360.401,1202.618,996.233,691.975,490.412,315.278,152.878,44.935,3.919
          Austria,8891.383,433.611,415.522,422.16,453.884,528.849,600.803,611.806,591.124,566.106,655.136,724.601,663.629,534.68,436.021,420.258,365.611,236.109,139.327,71.426,19.578,1.142
          Azerbaijan,9949.537,872.446,795.839,656.863,653.878,788.512,932.525,912.692,758.442,634.247,620.019,655.475,619.059,433.137,249.555,126.753,104.72,91.078,33.142,9.331,1.703,0.121
          Bahamas,385.635,25.964,28.722,32.027,32.688,33.458,30.951,27.185,27.381,28.405,28.094,25.183,22.028,15.563,10.559,7.514,5.247,2.885,1.238,0.437,0.098,0.008
          Bahrain,1569.44,108.136,103.091,90.9,80.587,111.869,210.23,240.703,181.183,131.396,101.604,75.884,57.411,38.378,16.587,9.63,6.498,3.503,1.264,0.518,0.061,0.007
          Bangladesh,161376.713,14516.613,14793.821,15400.65,15679.76,15098.68,14308.76,13505.296,12307.843,10590.388,9076.138,7896.895,6007.405,3870.021,2711.991,2354.468,1651.411,954.505,453.943,156.684,37.298,4.143
          Barbados,286.64,15.101,16.304,18.306,19.049,18.868,18.556,18.461,19.014,19.455,20.261,20.111,20.258,17.601,14.131,10.806,7.804,5.85,3.727,2.02,0.757,0.2
          Belarus,9452.615,565.69,558.724,469.855,426.096,500.546,717.784,789.031,695.776,652.503,618.915,659.004,740.925,654.504,481.779,284.318,265.652,217.449,102.912,43.85,6.921,0.381
          Belgium,11482.18,636.887,668.856,652.597,631.924,673.949,728.799,742.512,750.375,752.702,778.848,808.662,792.527,706.208,621.501,506.76,373.238,321.924,211.144,95.168,25.86,1.739
          Belize,383.071,39.32,38.053,38.621,39.75,38.116,34.597,30.206,25.609,22.1,19.764,16.403,13.039,9.352,6.587,4.483,3.089,2.151,1.251,0.497,0.071,0.012
          Benin,11485.035,1841.613,1620.369,1413.152,1224.759,1054.349,886.49,734.534,609.599,504.155,415.668,338.811,265.794,202.067,148.661,106.024,68.827,32.809,12.9,3.693,0.719,0.042
          Bermuda,62.763,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Bhutan,754.396,62.84,63.692,67.888,71.775,76.703,78.645,71.451,58.205,45.924,37.194,30.849,24.272,19.67,14.925,12.399,8.84,5.188,2.586,1.001,0.296,0.053
          Bolivia (Plurinational State of),11353.14,1191.638,1176.779,1159.405,1120.693,1040.385,943.021,837.413,735,635.411,540.238,454.839,381.753,320.054,266.604,212.611,152.949,97.458,55.096,23.571,7.036,1.186
"          Bonaire, Sint Eustatius and Saba",25.709,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Bosnia and Herzegovina,3323.929,141.506,176.453,172.854,187.525,215.217,199.414,235.825,239.269,222.951,228.632,249.418,266.349,241.043,200.626,127.644,106.14,75.466,22.68,12.311,2.452,0.154
          Botswana,2254.067,272.144,259.147,237.596,214.994,199.65,193.856,184.151,169.111,135.229,98.642,73.812,64.611,55.897,40.488,26.94,16.537,7.235,3.059,0.855,0.112,0.001
          Brazil,209469.32,14654.251,14623.054,15410.983,16732.097,17190.674,17020.194,17393.953,16913.357,14943.303,13452.872,12572.191,11003.824,8867.89,6840.465,4791.307,3261.033,2125.796,1074.273,458.216,123.038,16.549
          British Virgin Islands,29.795,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Brunei Darussalam,428.96,34.053,32.849,31.873,34.711,34.864,35.789,38.861,37.656,34.532,31.003,26.031,20.543,15.293,9.45,5.102,3.109,2.037,0.865,0.274,0.061,0.004
          Bulgaria,7051.61,313.038,361.927,354.245,299.942,329.057,436.474,485.311,499.077,544.275,512.129,475.478,478.982,479.265,472.96,402.135,271.837,193.27,104.896,31.544,5.619,0.149
          Burkina Faso,19751.466,3344.616,2963.807,2569.482,2160.296,1799.959,1493.316,1248.77,1036.769,821.235,644.07,511.908,391.041,290.783,205.716,139.708,81.509,35.239,10.798,2.182,0.261,0.001
          Burundi,11175.379,1983.545,1710.868,1390.564,1135.779,1020.907,961.846,807.569,580.618,381.934,280.464,254.283,228.605,187.291,116.564,61.758,40.114,21.511,8.585,2.19,0.369,0.015
          Cabo Verde,543.764,53.375,52.325,50.783,48.925,49.414,53.227,50.174,41.577,32.622,27.389,24.655,20.329,13.903,8.738,4.407,5.009,4.224,2.099,0.521,0.063,0.005
          Cambodia,16249.795,1774.136,1731.305,1564.755,1476.205,1604.197,1446.045,1441.283,1314.151,597.792,822.809,718.317,590.807,425.608,329.1,198.596,121.53,61.911,24.562,5.695,0.957,0.034
          Cameroon,25216.261,4003.013,3597.762,3149.315,2683.88,2309.272,2046.649,1757.61,1420.366,1106.037,866.271,674.614,518.122,395.23,294.364,197.922,118.077,56.444,17.765,3.232,0.312,0.004
          Canada,37074.558,1954.329,1989.724,1939.729,2033.838,2453.461,2646.282,2580.485,2559.85,2397.358,2364.244,2570.177,2762.487,2433.774,2055.806,1631.907,1101.75,766.053,503.494,247.887,74.18,7.743
          Cayman Islands,64.172,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
          Central African Republic,4666.375,727.432,692.665,646.841,563.775,446.158,336.894,268.181,217.583,180.298,153.006,124.639,99.893,77.144,54.635,36.865,23.851,11.739,3.922,0.769,0.083,0.002
          Chad,15477.727,2814.746,2413.544,2065.789,1737.264,1429.094,1153.165,915.531,721.984,564.351,434.706,339.335,278.18,226.11,165.63,104.216,65.61,32.675,12.101,3.136,0.535,0.025
          Chile,18729.166,1202.88,1262.887,1233.965,1280.43,1460.256,1560.911,1460.964,1348.434,1290.653,1239.596,1198.819,1094.874,935.037,740.902,529.771,380.998,257.558,156.647,71.014,19.324,3.246
          China,1427647.789,85911.673,86164.078,83144.858,83712.481,89721.435,112622.386,121724.282,94156.432,105039.77,125635.521,116470.647,89387.359,78044.972,66972.302,38679.67,24884.481,15528.137,7079.07,2195.55,511.782,60.903
"          China, Hong Kong SAR",7371.728,319.729,290.176,267.391,294.086,415.95,498.745,548.51,578.317,562.061,562.8,601.078,640.926,547.959,422.296,281.334,178.245,177.471,111.467,53.156,17.027,3.004
