"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Austria","2018","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2018","8822267",""
"Austria","2018","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2018","86460",""
"Austria","2018","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2018","432008",""
"Austria","2018","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2018","89110",""
"Austria","2018","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2018","345548",""
"Austria","2018","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2018","86505",""
"Austria","2018","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2018","85894",""
"Austria","2018","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2018","84039",""
"Austria","2018","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2018","84464",""
"Austria","2018","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2018","418903",""
"Austria","2018","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2018","83745",""
"Austria","2018","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2018","84559",""
"Austria","2018","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2018","82320",""
"Austria","2018","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2018","83815",""
"Austria","2018","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2018","82680",""
"Austria","2018","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2018","422091",""
"Austria","2018","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2018","84353",""
"Austria","2018","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2018","84652",""
"Austria","2018","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2018","85868",""
"Austria","2018","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2018","84538",""
"Austria","2018","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2018","86985",""
"Austria","2018","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2018","446497",""
