"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2018","Total","Male","Total","Estimate - de jure","Final figure, complete","2018","40843565","1"
"Germany","2018","Total","Male","0","Estimate - de jure","Final figure, complete","2018","402569","1"
"Germany","2018","Total","Male","0 - 4","Estimate - de jure","Final figure, complete","2018","1974218","1"
"Germany","2018","Total","Male","1","Estimate - de jure","Final figure, complete","2018","407765","1"
"Germany","2018","Total","Male","1 - 4","Estimate - de jure","Final figure, complete","2018","1571649","1"
"Germany","2018","Total","Male","2","Estimate - de jure","Final figure, complete","2018","395923","1"
"Germany","2018","Total","Male","3","Estimate - de jure","Final figure, complete","2018","390784","1"
"Germany","2018","Total","Male","4","Estimate - de jure","Final figure, complete","2018","377177","1"
"Germany","2018","Total","Male","5","Estimate - de jure","Final figure, complete","2018","376371","1"
"Germany","2018","Total","Male","5 - 9","Estimate - de jure","Final figure, complete","2018","1871418","1"
"Germany","2018","Total","Male","6","Estimate - de jure","Final figure, complete","2018","367598","1"
"Germany","2018","Total","Male","7","Estimate - de jure","Final figure, complete","2018","376147","1"
"Germany","2018","Total","Male","8","Estimate - de jure","Final figure, complete","2018","370796","1"
"Germany","2018","Total","Male","9","Estimate - de jure","Final figure, complete","2018","380506","1"
"Germany","2018","Total","Male","10","Estimate - de jure","Final figure, complete","2018","378707","1"
"Germany","2018","Total","Male","10 - 14","Estimate - de jure","Final figure, complete","2018","1895259","1"
"Germany","2018","Total","Male","11","Estimate - de jure","Final figure, complete","2018","371956","1"
"Germany","2018","Total","Male","12","Estimate - de jure","Final figure, complete","2018","375806","1"
"Germany","2018","Total","Male","13","Estimate - de jure","Final figure, complete","2018","384110","1"
"Germany","2018","Total","Male","14","Estimate - de jure","Final figure, complete","2018","384680","1"
"Germany","2018","Total","Male","15","Estimate - de jure","Final figure, complete","2018","392357","1"
"Germany","2018","Total","Male","15 - 19","Estimate - de jure","Final figure, complete","2018","2131312","1"
"Germany","2018","Total","Male","16","Estimate - de jure","Final figure, complete","2018","405608","1"
"Germany","2018","Total","Male","17","Estimate - de jure","Final figure, complete","2018","429432","1"
"Germany","2018","Total","Male","18","Estimate - de jure","Final figure, complete","2018","444730","1"
"Germany","2018","Total","Male","19","Estimate - de jure","Final figure, complete","2018","459185","1"
"Germany","2018","Total","Male","20","Estimate - de jure","Final figure, complete","2018","483514","1"
"Germany","2018","Total","Male","20 - 24","Estimate - de jure","Final figure, complete","2018","2413076","1"
"Germany","2018","Total","Male","21","Estimate - de jure","Final figure, complete","2018","479705","1"
"Germany","2018","Total","Male","22","Estimate - de jure","Final figure, complete","2018","472326","1"
"Germany","2018","Total","Male","23","Estimate - de jure","Final figure, complete","2018","480760","1"
"Germany","2018","Total","Male","24","Estimate - de jure","Final figure, complete","2018","496771","1"
"Germany","2018","Total","Male","25","Estimate - de jure","Final figure, complete","2018","505167","1"
"Germany","2018","Total","Male","25 - 29","Estimate - de jure","Final figure, complete","2018","2749822","1"
"Germany","2018","Total","Male","26","Estimate - de jure","Final figure, complete","2018","524279","1"
"Germany","2018","Total","Male","27","Estimate - de jure","Final figure, complete","2018","574870","1"
"Germany","2018","Total","Male","28","Estimate - de jure","Final figure, complete","2018","565458","1"
"Germany","2018","Total","Male","29","Estimate - de jure","Final figure, complete","2018","580048","1"
"Germany","2018","Total","Male","30","Estimate - de jure","Final figure, complete","2018","566445","1"
"Germany","2018","Total","Male","30 - 34","Estimate - de jure","Final figure, complete","2018","2716697","1"
"Germany","2018","Total","Male","31","Estimate - de jure","Final figure, complete","2018","553350","1"
"Germany","2018","Total","Male","32","Estimate - de jure","Final figure, complete","2018","535742","1"
"Germany","2018","Total","Male","33","Estimate - de jure","Final figure, complete","2018","530930","1"
"Germany","2018","Total","Male","34","Estimate - de jure","Final figure, complete","2018","530230","1"
"Germany","2018","Total","Male","35","Estimate - de jure","Final figure, complete","2018","539828","1"
"Germany","2018","Total","Male","35 - 39","Estimate - de jure","Final figure, complete","2018","2612793","1"
"Germany","2018","Total","Male","36","Estimate - de jure","Final figure, complete","2018","531888","1"
"Germany","2018","Total","Male","37","Estimate - de jure","Final figure, complete","2018","533983","1"
"Germany","2018","Total","Male","38","Estimate - de jure","Final figure, complete","2018","507117","1"
"Germany","2018","Total","Male","39","Estimate - de jure","Final figure, complete","2018","499977","1"
"Germany","2018","Total","Male","40","Estimate - de jure","Final figure, complete","2018","495718","1"
"Germany","2018","Total","Male","40 - 44","Estimate - de jure","Final figure, complete","2018","2411226","1"
"Germany","2018","Total","Male","41","Estimate - de jure","Final figure, complete","2018","484721","1"
"Germany","2018","Total","Male","42","Estimate - de jure","Final figure, complete","2018","473070","1"
"Germany","2018","Total","Male","43","Estimate - de jure","Final figure, complete","2018","477311","1"
"Germany","2018","Total","Male","44","Estimate - de jure","Final figure, complete","2018","480406","1"
"Germany","2018","Total","Male","45","Estimate - de jure","Final figure, complete","2018","521427","1"
"Germany","2018","Total","Male","45 - 49","Estimate - de jure","Final figure, complete","2018","2999227","1"
"Germany","2018","Total","Male","46","Estimate - de jure","Final figure, complete","2018","573950","1"
"Germany","2018","Total","Male","47","Estimate - de jure","Final figure, complete","2018","594683","1"
"Germany","2018","Total","Male","48","Estimate - de jure","Final figure, complete","2018","639853","1"
"Germany","2018","Total","Male","49","Estimate - de jure","Final figure, complete","2018","669314","1"
"Germany","2018","Total","Male","50","Estimate - de jure","Final figure, complete","2018","685715","1"
"Germany","2018","Total","Male","50 - 54","Estimate - de jure","Final figure, complete","2018","3517989","1"
"Germany","2018","Total","Male","51","Estimate - de jure","Final figure, complete","2018","703280","1"
"Germany","2018","Total","Male","52","Estimate - de jure","Final figure, complete","2018","705583","1"
"Germany","2018","Total","Male","53","Estimate - de jure","Final figure, complete","2018","715918","1"
"Germany","2018","Total","Male","54","Estimate - de jure","Final figure, complete","2018","707493","1"
"Germany","2018","Total","Male","55","Estimate - de jure","Final figure, complete","2018","681241","1"
"Germany","2018","Total","Male","55 - 59","Estimate - de jure","Final figure, complete","2018","3196294","1"
"Germany","2018","Total","Male","56","Estimate - de jure","Final figure, complete","2018","667103","1"
"Germany","2018","Total","Male","57","Estimate - de jure","Final figure, complete","2018","642005","1"
"Germany","2018","Total","Male","58","Estimate - de jure","Final figure, complete","2018","621641","1"
"Germany","2018","Total","Male","59","Estimate - de jure","Final figure, complete","2018","584304","1"
"Germany","2018","Total","Male","60","Estimate - de jure","Final figure, complete","2018","566996","1"
"Germany","2018","Total","Male","60 - 64","Estimate - de jure","Final figure, complete","2018","2627990","1"
"Germany","2018","Total","Male","61","Estimate - de jure","Final figure, complete","2018","546690","1"
"Germany","2018","Total","Male","62","Estimate - de jure","Final figure, complete","2018","523842","1"
"Germany","2018","Total","Male","63","Estimate - de jure","Final figure, complete","2018","506353","1"
"Germany","2018","Total","Male","64","Estimate - de jure","Final figure, complete","2018","484109","1"
"Germany","2018","Total","Male","65","Estimate - de jure","Final figure, complete","2018","479386","1"
"Germany","2018","Total","Male","65 - 69","Estimate - de jure","Final figure, complete","2018","2252151","1"
"Germany","2018","Total","Male","66","Estimate - de jure","Final figure, complete","2018","465700","1"
"Germany","2018","Total","Male","67","Estimate - de jure","Final figure, complete","2018","461795","1"
"Germany","2018","Total","Male","68","Estimate - de jure","Final figure, complete","2018","443368","1"
"Germany","2018","Total","Male","69","Estimate - de jure","Final figure, complete","2018","401902","1"
"Germany","2018","Total","Male","70","Estimate - de jure","Final figure, complete","2018","371672","1"
"Germany","2018","Total","Male","70 - 74","Estimate - de jure","Final figure, complete","2018","1684492","1"
"Germany","2018","Total","Male","71","Estimate - de jure","Final figure, complete","2018","318537","1"
"Germany","2018","Total","Male","72","Estimate - de jure","Final figure, complete","2018","272933","1"
"Germany","2018","Total","Male","73","Estimate - de jure","Final figure, complete","2018","360766","1"
"Germany","2018","Total","Male","74","Estimate - de jure","Final figure, complete","2018","360584","1"
"Germany","2018","Total","Male","75","Estimate - de jure","Final figure, complete","2018","342076","1"
"Germany","2018","Total","Male","75 - 79","Estimate - de jure","Final figure, complete","2018","1884435","1"
"Germany","2018","Total","Male","76","Estimate - de jure","Final figure, complete","2018","402378","1"
"Germany","2018","Total","Male","77","Estimate - de jure","Final figure, complete","2018","408245","1"
"Germany","2018","Total","Male","78","Estimate - de jure","Final figure, complete","2018","387037","1"
"Germany","2018","Total","Male","79","Estimate - de jure","Final figure, complete","2018","344699","1"
"Germany","2018","Total","Male","80","Estimate - de jure","Final figure, complete","2018","304436","1"
"Germany","2018","Total","Male","80 - 84","Estimate - de jure","Final figure, complete","2018","1186669","1"
"Germany","2018","Total","Male","81","Estimate - de jure","Final figure, complete","2018","275597","1"
"Germany","2018","Total","Male","82","Estimate - de jure","Final figure, complete","2018","245984","1"
"Germany","2018","Total","Male","83","Estimate - de jure","Final figure, complete","2018","208971","1"
"Germany","2018","Total","Male","84","Estimate - de jure","Final figure, complete","2018","151681","1"
"Germany","2018","Total","Male","85","Estimate - de jure","Final figure, complete","2018","134100","1"
"Germany","2018","Total","Male","85 - 89","Estimate - de jure","Final figure, complete","2018","527220","1"
"Germany","2018","Total","Male","86","Estimate - de jure","Final figure, complete","2018","120032","1"
"Germany","2018","Total","Male","87","Estimate - de jure","Final figure, complete","2018","108785","1"
"Germany","2018","Total","Male","88","Estimate - de jure","Final figure, complete","2018","89777","1"
"Germany","2018","Total","Male","89","Estimate - de jure","Final figure, complete","2018","74526","1"
"Germany","2018","Total","Male","90","Estimate - de jure","Final figure, complete","2018","55428","1"
"Germany","2018","Total","Male","90 - 94","Estimate - de jure","Final figure, complete","2018","162714","1"
"Germany","2018","Total","Male","91","Estimate - de jure","Final figure, complete","2018","41850","1"
"Germany","2018","Total","Male","92","Estimate - de jure","Final figure, complete","2018","30838","1"
"Germany","2018","Total","Male","93","Estimate - de jure","Final figure, complete","2018","20256","1"
"Germany","2018","Total","Male","94","Estimate - de jure","Final figure, complete","2018","14342","1"
"Germany","2018","Total","Male","95","Estimate - de jure","Final figure, complete","2018","10523","1"
"Germany","2018","Total","Male","95 - 99","Estimate - de jure","Final figure, complete","2018","26156","1"
"Germany","2018","Total","Male","96","Estimate - de jure","Final figure, complete","2018","7344","1"
"Germany","2018","Total","Male","97","Estimate - de jure","Final figure, complete","2018","4852","1"
"Germany","2018","Total","Male","98","Estimate - de jure","Final figure, complete","2018","2441","1"
"Germany","2018","Total","Male","99","Estimate - de jure","Final figure, complete","2018","996","1"
"Germany","2018","Total","Male","100","Estimate - de jure","Final figure, complete","2019","634","1"
"Germany","2018","Total","Male","100 - 104","Estimate - de jure","Final figure, complete","2019","1955","1"
"Germany","2018","Total","Male","100 +","Estimate - de jure","Final figure, complete","2018","2407","1"
"Germany","2018","Total","Male","101","Estimate - de jure","Final figure, complete","2019","429","1"
"Germany","2018","Total","Male","102","Estimate - de jure","Final figure, complete","2019","343","1"
"Germany","2018","Total","Male","103","Estimate - de jure","Final figure, complete","2019","330","1"
"Germany","2018","Total","Male","104","Estimate - de jure","Final figure, complete","2019","219","1"
"Germany","2018","Total","Male","105","Estimate - de jure","Final figure, complete","2019","117","1"
"Germany","2018","Total","Male","105 - 109","Estimate - de jure","Final figure, complete","2019","344","1"
"Germany","2018","Total","Male","106","Estimate - de jure","Final figure, complete","2019","105","1"
"Germany","2018","Total","Male","107","Estimate - de jure","Final figure, complete","2019","54","1"
"Germany","2018","Total","Male","108","Estimate - de jure","Final figure, complete","2019","35","1"
"Germany","2018","Total","Male","109","Estimate - de jure","Final figure, complete","2019","33","1"
"Germany","2018","Total","Male","110 +","Estimate - de jure","Final figure, complete","2019","108","1"
"Germany","2018","Total","Female","Total","Estimate - de jure","Final figure, complete","2018","41948786","1"
"Germany","2018","Total","Female","0","Estimate - de jure","Final figure, complete","2018","382505","1"
"Germany","2018","Total","Female","0 - 4","Estimate - de jure","Final figure, complete","2018","1872560","1"
"Germany","2018","Total","Female","1","Estimate - de jure","Final figure, complete","2018","388384","1"
"Germany","2018","Total","Female","1 - 4","Estimate - de jure","Final figure, complete","2018","1490055","1"
"Germany","2018","Total","Female","2","Estimate - de jure","Final figure, complete","2018","374705","1"
"Germany","2018","Total","Female","3","Estimate - de jure","Final figure, complete","2018","370084","1"
"Germany","2018","Total","Female","4","Estimate - de jure","Final figure, complete","2018","356882","1"
"Germany","2018","Total","Female","5","Estimate - de jure","Final figure, complete","2018","355717","1"
"Germany","2018","Total","Female","5 - 9","Estimate - de jure","Final figure, complete","2018","1770798","1"
"Germany","2018","Total","Female","6","Estimate - de jure","Final figure, complete","2018","347930","1"
"Germany","2018","Total","Female","7","Estimate - de jure","Final figure, complete","2018","356439","1"
"Germany","2018","Total","Female","8","Estimate - de jure","Final figure, complete","2018","350372","1"
"Germany","2018","Total","Female","9","Estimate - de jure","Final figure, complete","2018","360340","1"
"Germany","2018","Total","Female","10","Estimate - de jure","Final figure, complete","2018","357375","1"
"Germany","2018","Total","Female","10 - 14","Estimate - de jure","Final figure, complete","2018","1787506","1"
"Germany","2018","Total","Female","11","Estimate - de jure","Final figure, complete","2018","349789","1"
"Germany","2018","Total","Female","12","Estimate - de jure","Final figure, complete","2018","355014","1"
"Germany","2018","Total","Female","13","Estimate - de jure","Final figure, complete","2018","362780","1"
"Germany","2018","Total","Female","14","Estimate - de jure","Final figure, complete","2018","362548","1"
"Germany","2018","Total","Female","15","Estimate - de jure","Final figure, complete","2018","367881","1"
"Germany","2018","Total","Female","15 - 19","Estimate - de jure","Final figure, complete","2018","1949255","1"
"Germany","2018","Total","Female","16","Estimate - de jure","Final figure, complete","2018","376356","1"
"Germany","2018","Total","Female","17","Estimate - de jure","Final figure, complete","2018","394753","1"
"Germany","2018","Total","Female","18","Estimate - de jure","Final figure, complete","2018","397216","1"
"Germany","2018","Total","Female","19","Estimate - de jure","Final figure, complete","2018","413049","1"
"Germany","2018","Total","Female","20","Estimate - de jure","Final figure, complete","2018","434650","1"
"Germany","2018","Total","Female","20 - 24","Estimate - de jure","Final figure, complete","2018","2189438","1"
