date,cases_bavaria,cases_badenw,deaths_bavaria,deaths_badenw,cumcases_bavaria,cumcases_badenw
02.03.2020,54,54,0,0,,
03.03.2020,42,64,0,0,,
04.03.2020,50,81,0,0,,
05.03.2020,58,88,0,0,,
06.03.2020,91,120,0,0,,
07.03.2020,108,141,0,0,,
08.03.2020,123,194,0,0,,
09.03.2020,232,356,0,0,,
10.03.2020,299,457,0,0,,
11.03.2020,334,570,0,0,,
12.03.2020,414,610,0,0,,
13.03.2020,544,697,0,0,,
14.03.2020,586,660,0,0,,
15.03.2020,660,692,0,0,,
16.03.2020,1007,881,0,0,,
17.03.2020,818,784,0,0,,
18.03.2020,860,810,4,2,,
19.03.2020,780,688,8,6,,
20.03.2020,950,812,12,10,,
21.03.2020,820,642,19,16,,
22.03.2020,651,545,21,21,,
23.03.2020,952,721,26,21,,
24.03.2020,695,520,30,30,,
25.03.2020,780,557,37,37,,
26.03.2020,620,522,47,56,,
27.03.2020,662,566,55,70,,
28.03.2020,595,524,77,101,,
29.03.2020,488,465,107,101,,
30.03.2020,610,633,127,119,,
31.03.2020,446,447,162,165,,
01.04.2020,549,490,225,197,,
02.04.2020,490,446,268,241,,
03.04.2020,499,442,307,285,,
04.04.2020,423,333,349,316,,
05.04.2020,341,267,396,367,,
06.04.2020,405,392,437,387,,
07.04.2020,368,310,481,433,,
08.04.2020,335,297,564,464,,
09.04.2020,334,261,635,519,,
10.04.2020,277,261,703,570,,
11.04.2020,258,205,747,622,,
12.04.2020,211,189,786,649,,
13.04.2020,203,194,820,677,,
14.04.2020,215,170,872,711,,
15.04.2020,198,166,954,767,,
16.04.2020,166,175,1049,802,36538,31196
17.04.2020,,,1137,872,,
18.04.2020,,,1198,919,,
19.04.2020,,,1256,968,,
20.04.2020,,,1286,982,,
21.04.2020,,,1336,1031,,
22.04.2020,,,1424,1063,,
23.04.2020,,,1476,1113,,
24.04.2020,,,1525,1153,,
25.04.2020,,,1566,1189,,
26.04.2020,,,1596,1237,,
