"","date","death_dt","death_dt_hospit","death_dt_icu","death_dt_nohospit","hospit_dt","icu_in_dt","onset_dt","report_dt","test_dt","count_neg","count_pos","total_tested","prop_positive","k_hospit","p_hospit"
"1",2020-01-01,0,0,0,0,1,0,0,0,0,0,NA,0,NA,NA,NA
"2",2020-01-03,0,0,0,0,0,0,1,0,0,0,NA,0,NA,NA,NA
"3",2020-01-09,0,0,0,0,2,0,0,0,0,0,NA,0,NA,NA,NA
"4",2020-01-10,0,0,0,0,1,0,0,0,0,0,NA,0,NA,NA,NA
"5",2020-01-14,0,0,0,0,1,0,0,0,0,0,NA,0,NA,NA,NA
"6",2020-01-18,0,0,0,0,0,0,1,0,0,0,NA,0,NA,NA,NA
"7",2020-01-20,0,0,0,0,1,0,1,0,0,0,NA,0,NA,NA,NA
"8",2020-01-21,0,0,0,0,2,0,0,0,0,0,NA,0,NA,NA,NA
"9",2020-01-24,0,0,0,0,2,0,0,0,0,1,0,1,0,NA,NA
"10",2020-01-30,0,0,0,0,0,0,1,0,0,40,0,40,0,NA,NA
"11",2020-01-31,0,0,0,0,2,0,0,0,0,48,0,48,0,NA,NA
"12",2020-02-01,0,0,0,0,1,0,2,0,0,10,0,10,0,NA,NA
"13",2020-02-02,0,0,0,0,0,0,1,0,0,9,0,9,0,NA,NA
"14",2020-02-03,0,0,0,0,2,0,1,0,0,29,0,29,0,NA,NA
"15",2020-02-04,0,0,0,0,2,0,2,0,0,28,0,28,0,NA,NA
"16",2020-02-05,0,0,0,0,1,0,0,0,0,8,0,8,0,NA,NA
"17",2020-02-06,0,0,0,0,1,0,0,0,0,15,0,15,0,NA,NA
"18",2020-02-07,0,0,0,0,1,0,2,0,0,4,0,4,0,NA,NA
"19",2020-02-09,0,0,0,0,1,0,0,0,0,4,0,4,0,NA,NA
"20",2020-02-10,0,0,0,0,2,0,0,0,0,13,0,13,0,NA,NA
"21",2020-02-11,0,0,0,0,3,0,1,0,0,23,0,23,0,NA,NA
"22",2020-02-12,0,0,0,0,1,0,0,0,0,12,0,12,0,NA,NA
"23",2020-02-13,0,0,0,0,1,0,1,0,0,16,0,16,0,NA,NA
"24",2020-02-14,0,0,0,0,3,1,1,0,0,9,0,9,0,NA,NA
"25",2020-02-15,0,0,0,0,2,0,4,0,0,9,0,9,0,NA,NA
"26",2020-02-17,0,0,0,0,3,0,2,0,0,4,0,4,0,NA,NA
"27",2020-02-18,0,0,0,0,3,0,2,0,0,11,0,11,0,NA,NA
"28",2020-02-19,0,0,0,0,5,0,1,0,0,9,0,9,0,NA,NA
"29",2020-02-20,0,0,0,0,3,0,6,0,0,12,0,12,0,NA,NA
"30",2020-02-21,0,0,0,0,4,0,4,0,0,5,0,5,0,NA,NA
"31",2020-02-22,0,0,0,0,2,0,2,0,0,2,0,2,0,NA,NA
"32",2020-02-23,0,0,0,0,2,0,7,0,0,2,0,2,0,NA,NA
"33",2020-02-24,0,0,0,0,5,1,11,1,1,51,4,52,0.0192307692307692,1,1
"34",2020-02-25,0,0,0,0,4,0,10,2,1,136,2,137,0.0072992700729927,1,1
"35",2020-02-26,0,0,0,0,8,0,13,6,10,221,14,231,0.0432900432900433,3,0.3
"36",2020-02-27,0,0,0,0,4,0,15,5,7,295,13,302,0.0231788079470199,4,0.571428571428571
"37",2020-02-28,0,0,0,0,5,1,21,16,10,339,20,349,0.0286532951289398,1,0.1
"38",2020-02-29,0,0,0,0,12,0,23,14,13,421,30,434,0.0299539170506912,8,0.615384615384615
"39",2020-03-01,0,0,0,0,9,3,28,12,11,327,22,338,0.0325443786982249,5,0.454545454545455
"40",2020-03-02,0,0,0,0,15,2,40,20,31,365,48,396,0.0782828282828283,7,0.225806451612903
"41",2020-03-03,0,0,0,0,15,1,35,27,33,537,65,570,0.0578947368421053,14,0.424242424242424
"42",2020-03-04,0,0,0,0,12,1,51,38,60,626,83,686,0.0874635568513119,15,0.25
"43",2020-03-05,1,0,0,1,15,1,52,57,61,547,88,608,0.100328947368421,10,0.163934426229508
"44",2020-03-06,0,0,0,0,21,3,72,64,73,860,105,933,0.0782422293676313,9,0.123287671232877
"45",2020-03-07,0,0,0,0,7,1,73,58,49,660,76,709,0.0691114245416079,5,0.102040816326531
"46",2020-03-08,1,1,0,0,17,1,98,62,68,656,89,724,0.0939226519337017,17,0.25
